Step,AgentID,Wealth
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,1
0,12,1
0,13,1
0,14,1
0,15,1
0,16,1
0,17,1
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
0,24,1
0,25,1
0,26,1
0,27,1
0,28,1
0,29,1
0,30,1
0,31,1
0,32,1
0,33,1
0,34,1
0,35,1
0,36,1
0,37,1
0,38,1
0,39,1
0,40,1
0,41,1
0,42,1
0,43,1
0,44,1
0,45,1
0,46,1
0,47,1
0,48,1
0,49,1
1,0,0
1,1,0
1,2,2
1,3,2
1,4,1
1,5,1
1,6,2
1,7,0
1,8,1
1,9,1
1,10,3
1,11,1
1,12,3
1,13,2
1,14,0
1,15,1
1,16,1
1,17,1
1,18,0
1,19,1
1,20,0
1,21,0
1,22,0
1,23,1
1,24,1
1,25,1
1,26,1
1,27,1
1,28,1
1,29,1
1,30,1
1,31,1
1,32,0
1,33,3
1,34,1
1,35,1
1,36,1
1,37,0
1,38,1
1,39,0
1,40,0
1,41,1
1,42,2
1,43,0
1,44,1
1,45,3
1,46,1
1,47,1
1,48,0
1,49,2
2,0,0
2,1,0
2,2,3
2,3,3
2,4,0
2,5,0
2,6,1
2,7,0
2,8,0
2,9,1
2,10,3
2,11,0
2,12,3
2,13,3
2,14,0
2,15,2
2,16,2
2,17,0
2,18,0
2,19,1
2,20,0
2,21,1
2,22,0
2,23,2
2,24,1
2,25,2
2,26,1
2,27,1
2,28,0
2,29,0
2,30,2
2,31,0
2,32,0
2,33,4
2,34,1
2,35,0
2,36,1
2,37,0
2,38,0
2,39,0
2,40,1
2,41,0
2,42,1
2,43,1
2,44,0
2,45,2
2,46,1
2,47,2
2,48,3
2,49,1
3,0,3
3,1,0
3,2,2
3,3,3
3,4,0
3,5,1
3,6,1
3,7,0
3,8,0
3,9,0
3,10,2
3,11,0
3,12,3
3,13,2
3,14,0
3,15,2
3,16,1
3,17,1
