,Gini
0,0.0
1,0.43520000000000003
2,0.5880000000000001
3,0.5840000000000001
4,0.5632
5,0.5800000000000001
6,0.5776
7,0.6120000000000001
8,0.6224000000000001
9,0.5936
10,0.6088
11,0.656
12,0.6176
13,0.6184000000000001
14,0.656
15,0.5760000000000001
16,0.6344000000000001
17,0.6248
18,0.6024
19,0.6024
20,0.6368
21,0.6528
22,0.6624000000000001
23,0.6776
24,0.6496
25,0.6312
26,0.5848
27,0.636
28,0.7303999999999999
29,0.724
30,0.6584000000000001
31,0.6384000000000001
32,0.628
33,0.66
34,0.6096
35,0.7
36,0.7168
37,0.6816
38,0.6335999999999999
39,0.6504000000000001
40,0.5248
41,0.5848
42,0.5760000000000001
43,0.6048
44,0.6448
45,0.6424000000000001
46,0.6295999999999999
47,0.6608
48,0.696
49,0.7064
50,0.6799999999999999
51,0.6496
52,0.7072
53,0.7224
54,0.7112
55,0.6704
56,0.6888000000000001
57,0.6656
58,0.6152
59,0.6656
60,0.6768000000000001
61,0.7152000000000001
62,0.7256
63,0.668
64,0.6664
65,0.636
66,0.6312
67,0.6496
68,0.6408
69,0.6232
70,0.6464000000000001
71,0.5800000000000001
72,0.6088
73,0.6192
74,0.648
75,0.6728000000000001
76,0.636
77,0.6624000000000001
78,0.6048
79,0.5824
80,0.5088
81,0.4968
82,0.49040000000000006
83,0.6024
84,0.6408
85,0.6472
86,0.6168
87,0.6096
88,0.6224000000000001
89,0.6824
90,0.6152
91,0.6224000000000001
92,0.6552
93,0.6304000000000001
94,0.6136
95,0.6528
96,0.6896
97,0.6584000000000001
98,0.652
99,0.6528
